application/x-7z-compressed,7z
application/msword,doc
application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx
application/epub+zip,epub
application/x-fictionbook+xml,fb2
application/vnd.oasis.opendocument.text,odt
application/pdf,pdf
application/vnd.ms-powerpoint,ppt
application/vnd.rar,rar
application/rtf,rtf
application/vnd.ms-excel,xls
application/zip,zip
audio/mpeg,mp3
image/gif,gif
image/jpeg,jpg
image/png,png
image/vnd.adobe.photoshop,psd
text/csv,csv
text/html,html
text/plain,txt
video/x-matroska,mkv
video/quicktime,mov
video/mp4,mp4
video/m4v,mp4
